#yr,mo,dy,hr,mn,deg,T m/s,m/s,m,sec,sec,deg,T   hPa,degC,degC,degC,mi,ft
2016,12,31,23,50,58,6.5,7.7,2,12.12,6.19,47,1015.5,26,27,21.6,99,99
2017,1,1,0,50,55,7,8.4,2.01,8.33,6.39,78,1015.9,26,27,21.7,99,99
2017,1,1,1,50,61,8.3,9.5,2.02,7.69,6.12,82,1015.9,25.8,27,22.3,99,99
2017,1,1,2,50,68,8.6,9.8,1.81,12.12,6.11,35,1015.6,25.9,27,22.2,99,99
2017,1,1,3,50,70,7.5,9.7,2,12.12,6.14,33,1015.5,25.7,27,22,99,99
2017,1,1,4,50,61,8.2,10.2,1.81,12.12,5.89,33,1015,25.8,27,22.2,99,99
2017,1,1,5,50,49,10.2,12.1,2.01,12.12,5.94,39,1014.2,24.8,27,22.4,99,99
2017,1,1,6,50,49,9.8,12.5,2.2,7.14,5.89,80,1013.9,24.3,27,22.8,99,99
2017,1,1,7,50,69,9.1,11.1,2.14,7.69,5.71,75,1013.7,25,27,22.6,99,99
2017,1,1,8,50,104,9.1,14.4,2.13,7.69,5.76,68,1014,23.6,26.9,21.5,99,99
2017,1,1,9,50,68,10.6,12.3,2.26,7.69,5.62,75,1013.9,25.8,26.9,22.2,99,99
2017,1,1,10,50,66,9.8,11.6,2.39,7.69,5.83,74,1014.7,25.9,26.9,21.7,99,99
2017,1,1,11,50,69,10.6,12.8,2.44,7.69,5.9,67,1015.5,26.5,27,21.6,99,99
2017,1,1,12,50,64,10.7,12.4,2.68,8.33,6.08,90,1016.2,26.5,27,21.6,99,99
2017,1,1,13,50,68,10.4,12.6,2.56,7.14,5.9,68,1016.2,26.4,26.9,21.4,99,99
2017,1,1,14,50,65,10.6,12.5,2.48,8.33,5.92,80,1015.9,26.4,27,21.2,99,99
2017,1,1,15,50,67,9.5,11.5,2.74,7.69,6.09,86,1015.7,26.3,27,21.2,99,99
2017,1,1,16,50,67,9.6,11.3,2.68,7.14,6.12,73,1015,26.4,27,20.7,99,99
2017,1,1,17,50,66,8.8,10.9,2.45,8.33,5.95,88,1014.6,26.3,27,21.2,99,99
2017,1,1,18,50,64,9.9,11.2,2.48,8.33,6.11,86,1014.4,26.3,27,20.6,99,99
2017,1,1,19,50,55,9.8,11.6,2.71,8.33,6.2,94,1014.7,26.4,27,20.3,99,99
2017,1,1,20,50,63,9.5,11.3,2.56,7.69,5.9,87,1015,26.3,27,20.5,99,99
2017,1,1,21,50,58,9.7,11.1,2.51,7.69,6.05,93,1015.4,26.2,27,20,99,99
2017,1,1,22,50,60,10.1,11.6,2.31,8.33,5.9,101,1015.7,26.2,27,20,99,99
2017,1,1,23,50,61,10.5,12.1,2.37,7.69,6.08,98,1016,26.2,27,19.8,99,99
2017,1,2,0,50,66,10.1,12.3,2.37,8.33,5.81,98,1016.6,26.2,27,19.7,99,99
2017,1,2,1,50,68,10,11.8,2.43,7.69,5.89,104,1016.9,26.2,27,19.5,99,99
2017,1,2,2,50,60,9.5,11.8,2.39,8.33,5.89,87,1016.7,26.1,27,19.5,99,99
2017,1,2,3,50,65,9.4,11.7,2.37,8.33,5.83,107,1016.3,26,27,19.9,99,99
2017,1,2,4,50,63,9,10.6,2.13,8.33,5.93,103,1015.9,25.9,27,20.4,99,99
2017,1,2,5,50,61,9.7,11.5,2.17,8.33,5.76,92,1015.2,25.8,27,20.7,99,99
2017,1,2,6,50,61,9,10.9,2.37,7.69,5.98,102,1014.9,25.8,27,20.3,99,99
2017,1,2,7,50,66,8.2,10.3,2.38,8.33,6.13,99,1014.6,25.7,27,19.9,99,99
2017,1,2,8,50,60,8.5,10,2.37,8.33,6.11,96,1014.5,25.7,27,19.9,99,99
2017,1,2,9,50,62,8.3,9.8,2.35,8.33,6.22,101,1015,25.6,27,19.6,99,99
2017,1,2,10,50,56,7.3,9.2,2.32,7.69,6.11,91,1015.5,26,27,19.5,99,99
